link,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-house-nsw-newtown-424907822,$590 per week,590.0,2,1,0,newtown
https://www.realestate.com.au/property-townhouse-nsw-newtown-425683590,$720.00,360.0,2,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425340778,$630 per week,630.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-417713218,$640 per week,640.0,2,1,1,newtown
https://www.realestate.com.au/property-unit-nsw-newtown-425607882,$640 per week,640.0,2,2,1,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-422919786,$650 per week,650.0,2,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425112618,$650 per week,650.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-425544250,Application Approved!,,2,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-411627875,$660 per week,660.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-422417102,$680 per week,680.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-410845747,$680 per week,680.0,2,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-418645254,$690 per week,690.0,3,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-425608486,$700 per week,700.0,2,2,1,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-419614906,$700 per week,700.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-414706735,$700 per week,700.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425612310,$710 per week,710.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-404671611,$720 per week,720.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425679250,$725 per week,725.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-416931026,$725 per week,725.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-415156519,$730 per week,730.0,2,1,0,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-420354074,$740 per week,740.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-408438023,$750 per week,750.0,2,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-422854694,$750.00,375.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-422580674,$750 per week,750.0,2,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425463286,$750 per week,750.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425378330,$750 per week,750.0,2,1,0,newtown
https://www.realestate.com.au/property-townhouse-nsw-newtown-419437122,$750 per week,750.0,2,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-420296602,$750 per week,750.0,3,1,0,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-404429048,$755 per week,755.0,2,1,1,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-425635150,$760 per week,760.0,2,1,2,newtown
https://www.realestate.com.au/property-unit-nsw-newtown-425574018,$760 per week,760.0,2,1,2,newtown
https://www.realestate.com.au/property-house-nsw-newtown-406307496,$760 per week,760.0,2,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-420740978,$760.00,380.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-404682514,$780 per week,780.0,2,2,2,newtown
https://www.realestate.com.au/property-house-nsw-newtown-422879938,$785 per week,785.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425566694,$790 per week,790.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-422884694,$800 per week,800.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-411619259,$800 per week,800.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425116166,DEPOSIT TAKEN,,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-417957042,$810 per week,810.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-411468475,$820 per week,820.0,3,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-416445881,$820,820.0,2,2,1,newtown
https://www.realestate.com.au/property-duplex+semi+detached-nsw-newtown-425682974,$850 per week,850.0,3,1,0,newtown
https://www.realestate.com.au/property-unit-nsw-newtown-425347474,$900.00,450.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425672726,$860.00 P/W,430.0,2,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425617798,$860-$910,,2,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-423011526,$875 per week,875.0,3,1,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-425208082,$890 per week,890.0,2,2,1,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-408466763,$900 per week,900.0,3,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425527078,$920 per week,920.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425665890,$930,930.0,3,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425671294,$950 per week,950.0,3,1,1,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-414809999,$950 per week,950.0,2,2,1,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-408896639,$950 per week,950.0,3,3,1,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-424777382,$1000/week,,2,2,1,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-422578710,$980,980.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-419938218,$1000.00,500.0,3,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-410049647,"$1,050 per week",,3,1,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425576274,"$1,150 per week",,3,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425608610,"$1,200 per week",,4,2,0,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-425400810,$1295 PW,1295.0,2,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425269570,DEPOSIT TAKEN,,3,2,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425679578,"$1,300 per week",,4,3,0,newtown
https://www.realestate.com.au/property-apartment-nsw-newtown-422430034,"$1,300 per week",,4,1,0,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425686238,"$1,320 per week",,4,2,0,newtown
https://www.realestate.com.au/property-terrace-nsw-newtown-406968491,"$1,350 per week",,3,2,1,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425498498,$1395 FURNISHED,1395.0,3,3,2,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425477982,"$1,695 per week",,4,3,2,newtown
https://www.realestate.com.au/property-house-nsw-newtown-425608466,$1995 PW,1995.0,5,3,1,newtown
